,post_title,post_content,reply_content,target
10,"Which one is better in Australia university, UNSW, USYD or UMELB?","Which one is better in Australia university, UNSW, USYD or UMELB?","From someone who lives in Australia, I can confidently say that they are all widely regarded as fine universities. With regards to the majority of courses, the quality of content and teaching is unlikely to be a distinguishing factor between the three institutions. What will probably be of more relative importance is the type of environment in which you wish to study. Each of these universities has a unique ‘character’ of its own and your student experience will be significantly influenced by the location of your institution. Some brief observations of mine: Finally, I can also say that it will be probably more difficult to find accommodation in Sydney than in Melbourne at the moment due to their respective property markets. Hope this helps. ",living
11,What is the computer science course like at UNSW?,What is the computer science course like at UNSW?,,living
12,How is construction management in UNSW?,How is construction management in UNSW?,,
13,How's the social life in UNSW Sydney?,How's the social life in UNSW Sydney?,"Lecture and classroom wise, its not a great social life unless you are able to match the same social wavelength as your peers. Depending on the classes you take, you will meet different people from all walks of life, but again this is all up to you to decide how you want to do it: make friends or ignore them And then, there are club activities from meetup groups, social groups, etc. If you decide not to coop up in your dorm and go out there to join the groups, you may meet people who are generally more open to talk to you! I daresay that my social life in UNSW is a bit lacking, but i met more interesting people during cross-uni activities like Uni of Sydney’s Neko Nation (its usually held there) and UTS’s Anime UTS Christmas Parties. Macquarie also has amazing student communities that are generally warm and receptive, so….maybe you can get acquainted with people from different uni’s to get varying exposures! ",living
14,Does a PhD from UNSW Canberra count as the same as a PhD from UNSW?,Does a PhD from UNSW Canberra count as the same as a PhD from UNSW?,"The PhD you get from UNSW@Canberra is a PhD from UNSW. It does not matter which campus you study at; the degree is the same. The degree certificate does not indicate which campus you were based at. Your experience as a student at the Canberra/ADFA campus will be quite different from the student experience you’d have in Sydney, however. Weigh that up, as you are likely to be there for a while. ",living
15,"What do you think about the university of New South Wales (UNSW) and the university of Sydney, and which one is better?","What do you think about the university of New South Wales (UNSW) and the university of Sydney, and which one is better?","Daphne Lok's answer to Which one is better in Australia university, UNSW, USYD or UMELB? Both are good in their own way. My detailed response can be read in the link above. In general, UNSW focuses more on business and has a reputation of being more practical in approach and boasts of having more CEO’s leading ASX companies while Sydney University has more of an academic approach with focus on sciences and research. Sydney Uni also has a renowned law school. ",living
16,Is it worthwhile doing a master's in petroleum engineering from UNSW?,Is it worthwhile doing a master's in petroleum engineering from UNSW?,"It's a high rewarding career!. Hydrocarbon resources will continue to be the dominant source of energy for the next 5 decades. If you are good you can live better than with any other master degree. Independently of oil price, qualified and specialized engineers are able to work in Petroleum Industry, providing innovative ways to produce economically and environmentally friendly will be required in the next 100 years. I  recommend to link the master program in petroleum-related engineering leveraging new technologies such as data science, digital automation, environmental solutions and economic decision analysis tools. ",living
17,How are the placements in the UNSW?,How are the placements in the UNSW?,,
18,How recognized is UNSW?,How recognized is UNSW?,"UNSW is ranked in the top 50 universities in the world and among the top three Australian universities for graduates finding employment. In developing new ideas and promoting lasting knowledge they are creating an academic environment where outstanding students and scholars from around the world can be inspired to excel in their programs of study and research. Partnerships with both local and global communities allow UNSW to share knowledge, debate and research outcomes. UNSW’s public events include concert performances, open days and public forums on issues such as the environment, healthcare and global politics. UNSW Knowledge Exchange focuses on knowledge and technology transfer opportunities for research undertaken at UNSW. UNSW is the first University in Australia to offer a selection of UNSW’s intellectual property to the private sector to develop for free, with simplified, one-page agreements replacing complicated licensing negotiations. None ",living
19,"Which university is better for engineering, UNSW, University of Sydney or Queensland university?","Which university is better for engineering, UNSW, University of Sydney or Queensland university?","While they may have different reviews for different courses, you can compare the rankings of the three universities University of New South Wales None University of Sydney University of Queensland ",living
20,What are the best student organizations or clubs to join at IGNOU? Why should students join them?,What are the best student organizations or clubs to join at IGNOU? Why should students join them?,"Hey, this might be biased, but absolutely UNSW Data Science Society! Although it’s a fledgling society, it has grown to 300 members in 4 months! I recommend you join! WHY you ask? I assure you, I think in terms of events, in a short amount of time, I think our “efficiency” level is the greatest at UNSW. Just ask someone random - I guarantee although they might not be a DataSoc member, they know about us! - (Marketing strategies :) ) ",living
21,"Are there Arabs studying at UNSW, Australia?","Are there Arabs studying at UNSW, Australia?",Yup quiet a lot of them. It also depends on what faculty you are applying to. Some faculty has heaps amount of Arab people. I am from computing faculty and I have met few of them in my faculty. ,living
22,Is there a rivalry between UNSW and the University of Sydney?,Is there a rivalry between UNSW and the University of Sydney?,"Minor edits incorporated Nov 5: Of course! Both are in the Sydney area, about 6-7 km apart, and both are ranked among the best universities in Australia. (The University of Sydney and UNSW are both members of the Group of Eight (Go8) - a coalition of research-intensive Australian universities.)  There are, however, marked differences between the institutions: Sydney University was founded in 1850; UNSW almost exactly 100 year later, in 1949. Sydney University prides itself on its long history, beautiful sandstone campus and the fact that it was modeled after Oxford and Cambridge. UNSW was founded post WWII to meet the growing need to have a university focused on training engineers and technology-related professionals. In contrast to the University of Sydney, UNSW is more a ""new world"" institution modeled on US research-intensive universities such as MIT. Both are outstanding universities with strong programs in teaching and research across most disciplines. Universities everywhere now compete for dwindling Government dollars, philanthropic support, the very best students and international acclaim. Given that these two outstanding institutions are separated by just a few miles, it is not surprising that they are rivals. It really can't be any other way. Note added: I was concerned that the word ""rivalry"" carried a negative connotation, but the dictionary definition does not suggest that at all: ""competition for the same objective or for superiority in the same field."" ",living
23,"Which Australian university would you rather go to, UNSW, UQ or Deakin?","Which Australian university would you rather go to, UNSW, UQ or Deakin?",,
24,How is UNSW in Australia? Is it easy to adapt as an international student?,How is UNSW in Australia? Is it easy to adapt as an international student?,The best advice I can give you is leave all your assumptions about Australia behind you. The bad things about UNSW are that is is located in just about the most expensive part of Sydney in which to live and it is extremely difficult to find a place to live. It is also very inconveniently located as far as transport is concerned. Parking space is limited. Campus food is expensive and not very good. The Asian presence is very high and in some faculties are the majority of the students. It is a Top World 100 university and is very strong in Medicine and Engineering. ,food
25,"Which is better, UNSW or USyd for engineering foundation program?","Which is better, UNSW or USyd for engineering foundation program?","I completed a Bachelor of Engineering (Electrical) at the University of Sydney and then did a Masters in Biomedical Engineering at UNSW. I agree with Conor O’Driscoll’s answer that Sydney in the late 1980s was quite mathematical and theoretical. I found UNSW in the early 1990s more practical with assignments having more real-life applications. The Sydney degree was quite generalist; we looked at many different topics in Electrical Engineering. The only specialisation was in the Project work in the last year and we had to complete a 6 week industrial placement. Other universities might require greater specialisation at an earlier stage. The Sydney approach let us try out different topics and electives, which can be helpful if you are still learning about yourself and what you like to study. I feel that the Sydney course could lead to work in a Research and Development environment, while the UNSW course would be more practical for general industry. I personally found it tougher to get higher marks at Sydney, though that might have been due to being older at UNSW, and maturity of study methods would have helped. We did have very good students at University of Sydney, who scored very highly in the HSC, but you no doubt would find that is the case also at UNSW. Sydney is a lovely campus, but I liked UNSW too, and felt that their libraries were both very helpful for my work. I feel that the lecturers at UNSW were more approachable and helpful than Sydney, but things could have changed by now. We were also a smaller group in the Centre for Biomedical Engineering which could explain that. I hope this answer assists you. ",living
26,How reputable are UNSW masters degrees?,How reputable are UNSW masters degrees?,None None ,living
27,How good is the actuarial course at UNSW?,How good is the actuarial course at UNSW?,,
28,Should I transfer from USYD to UNSW?,Should I transfer from USYD to UNSW?,"I would strongly urge you to think the basis of your a change in the first place. Are you considering change for the following: If you’re looking for a change in environment, take a semester off and go on a trip overseas, find yourself. A change in university is not going to solve the underlying cause if any. A degree is a degree at the end of the day you could do it from wherever. Remember why you chose USYD in the first place. Break this pattern otherwise it could lead up to issues in the future such as changing jobs, relationships etc. Find out what the real cause is for the change. Find yourself and you’ll find that changing University is not the answer. ",living
29,What Australian university has the best artificial intelligence group: UNSW or ANU?,What Australian university has the best artificial intelligence group: UNSW or ANU?,UNSW hands down but it still not recognised whereas ANU is a little hyped about in terms of AI. ,living
30,How long does it take for UNSW to offer an admission letter after application?,How long does it take for UNSW to offer an admission letter after application?,"It’s pretty quick, I applied a month before the deadline date and mostly the students get their acceptance letter a month after the deadline date. If they need more info, they will ask for it. Also, they hold information sessions regarding the admission process so it is worth checking out. ",living
31,How hard is it to study commerce at UNSW?,How hard is it to study commerce at UNSW?,"Depending on where you come from, it may be easy or difficult. But I can give some sort of guidance to help inform your decision: ",living
32,How is architecture in UNSW?,How is architecture in UNSW?,"I took an online architecture unit during my third year at UNSW, and enjoyed it very much. This was a class open to all undergrads, and several of the students were 1st year architecture - they were incredible. They had insightful solutions, they knew a ton of lingo and techniques, they whipped around specialised software. It was amazing to be apart of. As for me, I loved the course I took - the lecturer was incredibly supportive, explained everything, answered questions, and gave excellent feedback. I have had exceptionally enthusiasm for the design of public spaces since. Based on my experience as an elective student, I would say that the architecture courses at UNSW are of high quality, and give you excellent design and implementation skills. ",living
33,How is UNSW's structural engineering?,How is UNSW's structural engineering?,,
34,"Which university should I choose for a PhD in machine learning, UNSW, UTS or USYD?","Which university should I choose for a PhD in machine learning, UNSW, UTS or USYD?","Make your decision based on: 1 how you like the style of each of your potential supervisors 2 which university is most aligned with your long term strategy (ie. Whatever you want to do after your PhD, you might as well get closer to it during your PhD) 3 which university will motivate you the most ? You'll need plenty of motivation for the long journey ahead, so consider which one feels right. This might be driven by friends, location, scholarship, lifestyle etc. What NOT to base your decision on: general public’s perception of the prestige of a particular university. If you're planning on seeking employment in Australia during/afterwards, remember that unlike many places in the world, Australians really don’t care about the reputation of the university you went to. During my career I've recruited or assisted recruiting folk into many desirable corporate roles. Human Resources and decision makers in the hiring proces are abolutely looking for the best individual, and don’t consider perceived prestige of a university as a factor in hiring someone. Maybe there are some niche pockets in Australia where an employer responds to this factor, but I would avoid them at all costs. In theory, I would concede that a University's reputation in a very specific sub-specialty could be a factor to another person with detailed knowledge of that sub-specialty… But in reality, fields of knowledge change so quickly, that such reputations would change between your current choice of university and your eventual PhD completion. Good luck. ",living
35,Is it worth it to go to UNSW for undergraduate considering its heavy fees?,Is it worth it to go to UNSW for undergraduate considering its heavy fees?,"Yes, absolutely! First of all, the return on investment (ROI) will be significant depending on the type of Major you are planning to enroll into. Most of my friends who finished their UG programmed, got into graduate positions in companies like Telstra, Google, Caltex, etc. Also, when you enroll in a highly multicultural university like UNSW, you not only learn about different cultures but also make great friends all over the globe. For example, throughout my stay in Australia during studying and working, I have made friends having very diverse backgrounds. When you graduate and step into your professional life, this experiences will help you immensely by making you tolerant and considerate. You will fit well in teams comprising of people from different nationalities and cultural backgrounds. If you are lucky enough to have few close friends from some Non-English linguistic backgrounds, you might even learn new languages. It is often beneficial to have an international experience when you are still young as being a young person makes you more open to learning and trying new things. ",living
36,"Which one is better for commerce, Monash or UNSW?","Which one is better for commerce, Monash or UNSW?","While each university may have a different review for different classes, you can compare the overall rankings of the two universities\ Monash University None University of New South Wales None ",living
37,Pinki Gulati,Pinki Gulati,,
38,What is the eligibility to get admission in UNSW?,What is the eligibility to get admission in UNSW?,,
39,"USYD or UNSW, which university is better?","USYD or UNSW, which university is better?","None None None None To compile the ranking, there are six indicators used: None None Based on my experience of studying in Sydney, I think USYD is more accessible than UNSW. As I didn’t have a car, I went to uni either by bus or by train. To get to UNSW, the only public transport available is buses. If you love city life, USYD is probably better because it is situated much closer to the city center than UNSW. If you love old buildings, you might want to go to USYD. University of Sydney Quadrangle - Wikipedia I come from Indonesia, and I think my Indonesian friends who studied at UNSW were very lucky because there are several Indonesian restaurants not very far from UNSW. For me, food from my home country is one of the best remedies for homesick. If you prefer universities with a three-term year rather than a two-semester year, then UNSW is probably better. However, the adoption of this three-year term is quite recent and has become a matter of debate and controversy. Read more: 'Money-making exercise': other universities join UNSW trimester protest Aussie Uni Moves To Three-Term Semester And Students Are Pissed None I hope it answers your question. ",food
40,Why did Rory Hume resigned as the Vice Chancellor of UNSW?,Why did Rory Hume resigned as the Vice Chancellor of UNSW?,,
41,What are some fun and easy electives to study in UNSW?,What are some fun and easy electives to study in UNSW?,"I know several super easy electives you can take, depending on your faculty: Main Campus ",living
42,Who is the smartest scientist at UNSW right now?,Who is the smartest scientist at UNSW right now?,,
43,What is your review of foundation programme of UNSW?,What is your review of foundation programme of UNSW?,"None I did foundations at UNSW and graduated in November 2016 having studied Physical Science. Like almost every other student here, I was an international student coming to Sydney for the first time. My overall experience was positive and I would certainly recommend (with some caveats). I’ll just list some of my personal pros and cons. Pros: Cons: None None I refer back again to my philosophy, Foundations at UNSW or anything else for that matter are just platforms for you to use. Your performance and what you get from it is completely up to you. ",living
44,Is doing a Master's in Business Analytics from UNSW worth it?,Is doing a Master's in Business Analytics from UNSW worth it?,"Higher education with very good grasp of the subject and clarity of the vision is always welcome.Knowledge is power , power brings the confidence. ",living
45,"I got accepted into Uni of Adelaide, Uni of Western Australia and UNSW. Which one should I choose? ","I got accepted into Uni of Adelaide, Uni of Western Australia and UNSW. Which one should I choose? ","If you're going to be a doctor, I believe UNSW., produces the best. However accommodation is expensive. We do have every nationality in the world here. But if you want to party while learning, Perth is laid back with a great night life. If you prefer colder weather, than Adelaide is for you. You'll definitely end up specializing in your craft, cause there is nothing to do there, only study. This is solely my opinion. Since you've been accepted at the best, I'm sure you're smart enough to work it out for yourself. Anyway, you can always put in for a transfer. ",living
46,What is the difference between computer science and software engineering at UNSW?,What is the difference between computer science and software engineering at UNSW?,"Felix made some good point but I suppose a SE perspective on the topic would also be helpful! (Assuming Felix is/was doing a CS degree). I’m currently doing Software Engineering at a University in the same state, and someone I know is doing it in UNSW. For this answer I will focus on the UNSW program. CS is more flexible with less compulsory courses, and therefore it will allow you to do more electives in CS as well as other faculties. Software Engineering, on the other hand, is much more structured. AFAIK there is 1 elective available for the first year and 1–2 at second year. For example I wanted to do a logic course next semester, but due to my SE degree requirement, I have to do database instead. The degree is more flexible in year 3 with the “gen-ed”(i.e. courses that are not in the faculty) component. So what are some of the strength of a software engineering degree? The compulsory engineering units focus on many non-technical skill. This include Team work, project management, prototyping, report writing etc. These soft skills, while sounds mundane, are essential for many software development jobs. Of course these can be learnt with the electives from CS. It is easier, however, to learn in a structure designed for these purposes. (Side note: I believe in UNSW SE compulsory is mostly team-project based, and last-semester first year project is building a working, self-navigating robot!) Another (possible) benefit is that because it is structured, employers know you must have written more than a few detailed report, participated in several team-based project, and completed an internship. This might marginally increase your employment prospect. My personal opinion: check out the compulsory courses for each degree, and if you’re sure that you wouldn’t mind doing the SE one then go for it. If you’re not too sure which area of CS you want to focus on or you want to do a minor in another area then do CS. Final word: Since the degrees are so similar, transferring between them will not be a hustle, so don’t be too worry that you’re making the wrong choice! See the following website for a sample degree structure. None None (Note: the SE link is 2014 so there might be slight differences) ",living
47,"From the perspective of employment, which is a better choice, UNSW or USyd?","From the perspective of employment, which is a better choice, UNSW or USyd?","This depends on the area of study, honestly. Both universities have their strengths and weaknesses. For UNSW, their Art and Design faculty was formerly COFA, and very well respected, whilst USyd’s SCA has had some very public struggles recently. UNSW’s engineering faculty is also excellent, considered amongst the top engineering degrees. On the other side, USyd’s law degree is very well regarded in a professional setting, and their Arts students are quite notable. It also depends on which campus is more accessible for your, your area of speciality, and which university feels like a good match. ",living
48,"Which is better, NTU Singapore or UNSW?","Which is better, NTU Singapore or UNSW?",,
49,Which is better for an undergraduate degree in computer science: University of Melbourne/UNSW or the IITs/NITs/IIITHs in India?,Which is better for an undergraduate degree in computer science: University of Melbourne/UNSW or the IITs/NITs/IIITHs in India?,"This question simply shows how hyped Indian Universities are. No, they are not better than University of Melbourne and University of South Wales. Indian universities are prestigious because of poor seat to applicants ratio which makes their selection procedure tough and attract best minds of the country. Just google global rankings of these universities. Foreign universities you mentioned are nearly in top 50. Only few IITs and IISc make to top 200 list. However, there could be some road blocks in studying abroad which may push you to aim towards Indian universities. All the best!! I don't know why some people are having trouble accepting my answer. I admit Indian institutions are great, IISc, IISERs, IIIT hyderabad, all of them have quality research going on. However, the question is comparing them with University of South Wales. I know being Indians, it's difficult to accept but IITs do not come any closer to MIT, Stanford, Hardvard…. I have friends in IITs, and seniors pursuing MS abroad. And please don't comment, these rankings are not true, institutes can't be compared bla bla. Colleges can be easily compared. ",living
50,"As an international student, which one is better for a JD (Juris Doctor) in Australia, UNSW or USYD?","As an international student, which one is better for a JD (Juris Doctor) in Australia, UNSW or USYD?","It’s different. I did JD in UNSW, some people say USYD is better because of the rank. But compared to the big lecture in USYD, I prefer small class in UNSW. We only had 30+ people at class when I was in law school. You could do more research about it ",living
51,When are all the outcomes for international scholarship applications finalized at UNSW?,When are all the outcomes for international scholarship applications finalized at UNSW?,"No one knows I think. From my experience last year is what everyone know is when the outcomes start to be delivered and emailed to some student. I was being told that university will give all the applicants their ranking (confidential to the applicant - so we never know what is our ranking). So what they do is offer the scholarship to the first rank first then give some time for her/him to response. If there is no response/rejection, it will go to second, then third, and so on... In my case last year, I got my scholarship on January. It's quite late though, because some of my friends already got it on December. None For the scholarship itself there are 3 types: IPRS (from government), UIPA (from UNSW), and TFS (in which your supervisor pay your stipend). The ranking system from I know is go for the IPRS one (maybe UIPA - I never know about UIPA ranking). Below the IPRS is the TFS one. If your ranking happen to be on the TFS part, your supervisor will be asked are he/she willing for to pay tour stipend. If they say no, you will not get TFS. Agains - this is what I know, what some people told me but maybe its not the case for this year. ",living
52,Which is the best place to study finance in Sydney: UNSW Business School or the University of Sydney Business School?,Which is the best place to study finance in Sydney: UNSW Business School or the University of Sydney Business School?,"The University of Sydney is the best for finance in NSW. They have built a whole new architecture for finance and economics with an ergonomic style, having world class leading professionals and staffs as tutors. UNSW business is also good in a way, but the USYD’S school is the best! Thank you and all the best for your future endeavours :) ",living
53,Which masters is better in accounting UNSW or Macqauire?,Which masters is better in accounting UNSW or Macqauire?,,
54,Is UNSW good for business studies?,Is UNSW good for business studies?,"None To decide which universities are best, I like to check how often their professors are invited to speak at large conferences in their areas or even better, authors of best selling business books. For example, if you google some of their people from the business school’s people page and find a lot of things on them, I would say that’s a big plus point for that school because by attending that university, you will have a chance to gain access to their works. In addition to that, UNSW had huge international student intakes. So if you’re into networking, I would say that’s a big factor as well. ",living
55,"Which university is the best choice to study IT in Australia: RMIT, Unimelb or UNSW?","Which university is the best choice to study IT in Australia: RMIT, Unimelb or UNSW?",,
56,How's the construction management & property program at UNSW Australia?,How's the construction management & property program at UNSW Australia?,,
57,How good is the masters in IT unsw?,How good is the masters in IT unsw?,,
58,How is the accommodation for PhD students at UNSW?,How is the accommodation for PhD students at UNSW?,,
59,"What is the better university for computer science, UTS or UNSW?","What is the better university for computer science, UTS or UNSW?",,
60,"Which is the toughest business / science school among these Australian universities: Monash University, University of Melbourne, University of New South Wales (UNSW), Macquarie, and University of Queensland (UQ)?","Which is the toughest business / science school among these Australian universities: Monash University, University of Melbourne, University of New South Wales (UNSW), Macquarie, and University of Queensland (UQ)?","Well for business I think this should suffice: I don't have a business degree, nor have I completed any of their courses, but I do know the UQ Network is amazing. ( I suspect any of the top 5 would have a great alumni network to be honest, but there is only one number one) There are many networking activities, big four market days and guest lectures from not just specialists and researchers but also recruiters, to give you the tools to work all your newly attained knowledge. Then for science ( bear in mind that as a UQ student my opinion is obviously bias), UQ is a well know research university. Especially in the scientific field. However, I couldn’t simply state what was the most challenging course, as what I found a challenging Physics course is completely irrelevant to a biology student and vice versa. None Back to the question: UQ has been amazing so far, I would recommend it to everyone. It's tough, expensive, sandstone (pretentious, haha), but mostly amazing. Knowledgeable professors, good tutors, actual responses to requests for improvement or extra help and always challenging content. And it ranks really well in the greater university scene which is a big plus ( then again so do the others, it's all relative I suppose..) ",living
61,Should I choose UNSW or University of Melbourne for undergraduate physics?,Should I choose UNSW or University of Melbourne for undergraduate physics?,"I had something to do with the biophysicists that used to be based at UNSW. I would recommend UNSW with these qualifications. UNSW is badly located for both accomodation and transport. Sydney is very expensive to live in and the area around UNSW is one of the most expensive areas. It is a very difficult university to get to by public transport and and the drive to the place and finding parking can be impossible. I am a Sydney graduate and PhD and so naturally my opinion of Uni of Melbourne is that they are a bunch of unspeakable arseholes. I have not had any positive experiences to change my mind. As in the case of UNSW it is very expensive to live near the university and count on $50,000 pa for rent. ",living
